City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,maroantsetra,PN,2023-10-30 06:11:24,-25.066,-130.1015,100,80,72.89600000000004,4.21
1,wailua homesteads,RU,2023-10-30 06:11:24,61.5071,38.9456,68,74,27.26600000000001,2.55
2,ciacova,MP,2023-10-30 06:11:25,15.1355,145.701,0,78,83.37200000000004,5.66
3,bilibino,ZA,2023-10-30 06:11:25,-34.5322,20.0403,0,39,67.60399999999996,10.48
4,sierra grande,MH,2023-10-30 06:11:25,11.2278,169.8474,100,84,82.85,9.8
5,constantia,EC,2023-10-30 06:07:56,-0.95,-80.7333,40,83,77.05399999999995,3.6
6,port-aux-francais,US,2023-10-30 06:11:26,41.3712,-73.414,100,89,50.63000000000004,2.06
7,cargados carajos,US,2023-10-30 06:11:26,42.6001,-73.9662,100,94,48.07400000000001,2.24
8,hithadhoo,MX,2023-10-30 06:11:27,23,-99.7167,100,95,64.868,2.03
9,chonchi,CN,2023-10-30 06:11:27,30.3,109.4833,2,76,65.174,0.17
10,qaqortoq,CA,2023-10-30 06:11:27,55.7435,-97.8558,100,77,21.70399999999995,4
11,stanley,EH,2023-10-30 06:11:27,23.6848,-15.958,3,80,70.68200000000002,4.6
12,grytviken,CA,2023-10-30 06:11:28,56.2499,-120.8529,100,92,21.848000000000024,1.25
13,whitehorse,UZ,2023-10-30 06:10:22,40.1333,63.45,67,29,80.24000000000002,3.33
14,kalach-na-donu,CA,2023-10-30 06:10:02,62.456,-114.3525,30,98,18.680000000000042,2.68
15,greenfield,NO,2023-10-30 06:11:29,69.6496,18.957,75,93,26.888000000000044,4.12
16,adamstown,CA,2023-10-30 06:11:29,63.7506,-68.5145,89,78,9.967999999999982,5.36
17,oistins,US,2023-10-30 06:11:29,21.9789,-159.3672,40,77,76.85600000000002,2.06
18,vadso,PE,2023-10-30 06:11:29,-13.7,-76.2167,40,88,64.72400000000002,1.03
19,devinuwara,LV,2023-10-30 06:11:30,57.5,22.8167,100,95,46.688000000000045,5.27
20,taiohae,,,,,,,,
